拭,2,-1.69589,-1.39486,-1.09383,-0.7928,-0.49177,-0.19074,0.11029,0.41132,0.71235,1.01338,1.31441,1.16449,0.93365
愁,2,-1.69589,-1.39486,-1.09383,-0.7928,-0.49177,-0.19074,0.11029,0.41132,0.71235,1.01338,1.31441,1.16449,0.93365
汁,4,-1.40495,-1.10392,-0.80289,-0.50186,-0.20083,0.1002,0.40123,0.70226,0.40123,0.60238,0.90341,0.60238,0.30135
負,163,-1.46527,-1.16424,-0.86321,-0.56218,-0.26115,0.17666,0.97574,0.1001,0.61915,0.55358,0.62001,0.96711,0.30371
稜,14,-1.80618,-1.50515,-1.20412,-0.90309,-0.60206,-0.30103,0,0.30103,0.60206,0.90309,1.20412,1.50515,1.80618
塞,2,-1.80618,-1.50515,-1.20412,-0.90309,-0.60206,-0.30103,0,0.30103,0.60206,0.90309,1.20412,1.50515,1.80618
迫,34,-1.51846,-1.21743,-0.9164,-0.61537,-0.31434,-0.01331,0.28772,0.47143,0.60013,0.76865,0.82631,1.0864,0.55469
襖,1,-1.66724,-1.36621,-1.06518,-0.76415,-0.46312,-0.16209,0.13894,0.43997,0.741,1.04203,1.34306,1.04203,0.741
求,507,-1.50752,-1.20649,-0.90546,-0.60443,0.55948,0.46432,0.26703,0.59664,0.5884,0.40914,0.51983,0.51917,0.29992
財,120,-1.75405,-1.45302,-1.15199,-0.85096,-0.54993,-0.2489,0.05213,0.72056,1.01776,0.77611,1.19279,1.27182,0.97765
畳,15,-1.26719,-0.96616,-0.66513,-0.3641,-0.06307,0.23796,0.53899,0.54472,0.55038,0.41989,0.23248,0.47237,0.32885
港,52,-0.31282,-0.01179,0.28924,0.4497,0.62833,-0.18912,0.16279,0.27838,-0.52479,-0.18018,0.2365,-0.30176,-0.52447
率,284,-0.95417,-0.65314,-0.35211,-0.05108,0.24995,0.03673,-0.39966,0.55881,0.28843,0.2751,0.21029,0.75558,0.03529
貢,31,-1.35604,-1.05501,-0.75398,-0.45295,-0.15192,0.14911,0.45014,0.75117,0.70824,0.66059,0.54215,0.23797,0.27053
露,20,-1.26909,-0.96806,-0.66703,-0.366,-0.06497,0.23606,0.53709,0.83812,0.18107,0.34599,0.46524,0.4041,0.32752
延,46,-1.43938,-1.13835,-0.83732,-0.53629,-0.23526,0.06577,0.3668,0.66783,0.58412,0.48033,0.83902,0.75669,0.42607
枚,122,-1.01509,-0.71406,-0.41303,-0.112,-0.41303,0.70146,1.00249,0.74665,0.50458,0.48857,-0.62623,0.31263,-0.46292
爪,5,-0.97459,-0.67356,-0.37253,-0.0715,0.22953,0.53056,0.83159,0.80105,0.54195,0.24092,-0.06011,-0.36114,-0.66217
昼,13,-0.16904,0.13199,0.43302,0.59348,0.42103,0.13075,0.08472,0.05418,-0.20492,-0.33541,-0.52281,-0.15798,-0.45901
廷,34,-1.04954,-0.74851,-0.44748,-0.14645,0.15458,0.45561,0.55891,0.64229,0.45359,0.11237,0.0239,0.00516,-0.01444
玉,37,0.06381,0.36484,0.11768,0.27814,-0.32138,-0.27363,-0.23061,0.28291,0.47147,0.6025,0.3365,-0.47332,-1.21891
便,87,-0.32248,-0.02145,0.27958,0.58061,0.47842,-0.42619,-0.29612,-0.32666,0.23815,0.10564,-0.3016,0.13018,-0.11808
凍,14,-1.41567,-1.11464,-0.81361,-0.51258,-0.21155,0.08948,0.39051,0.57423,0.70293,0.69458,0.68607,0.62493,0.30531
果,509,-1.21966,-0.91863,-0.6176,-0.31657,-0.01554,0.21815,0.26904,0.5218,0.16124,0.45755,0.47308,0.53148,0.45567
